iteration,actor_loss,critic_loss,entropy,mean_return,mean_advantage,buffer_steps,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_return,eval_avg_episode_length
155,-0.00324933766387403,568.200927734375,1.5430740118026733,-17.9808349609375,6.258487506016763e-09,50,,,,,
156,-0.014396728947758675,206.39617919921875,1.5444087982177734,-33.43183898925781,1.4901161193847656e-08,16,,,,,
157,-0.0027221345808357,1417.0245361328125,1.5455424785614014,-52.555458068847656,4.2915345943583816e-08,50,,,,,
158,-0.007845443673431873,1425.871826171875,1.5462695360183716,-54.84724426269531,1.668930060816365e-08,50,,,,,
159,0.002223608549684286,581.6383056640625,1.5469006299972534,-31.361249923706055,2.086162531611535e-08,50,,,,,
160,-0.0016188144218176603,761.71484375,1.5474066734313965,-31.92731475830078,-1.7881394143159923e-08,50,0.0,0.0,1.0,-61.772135230898854,60.0
161,-0.0020247744396328926,2478.816650390625,1.5480449199676514,-67.7569351196289,-9.059905892172537e-08,50,,,,,
162,-0.002378797624260187,793.6520385742188,1.5483882427215576,-39.41389465332031,-5.602836594675864e-08,50,,,,,
163,-0.003574224654585123,3601.367919921875,1.5487579107284546,-78.06688690185547,-1.1444091541079615e-07,50,,,,,
164,-0.004220266360789537,1053.311767578125,1.5498733520507812,-48.67555236816406,-2.38418573772492e-09,50,,,,,
165,-0.00279305805452168,830.26416015625,1.551060438156128,-45.510894775390625,2.8610228852699038e-08,50,,,,,
166,-0.0012651443248614669,2914.553955078125,1.5522767305374146,-74.21509552001953,1.0013580009626821e-07,50,,,,,
167,-0.00080108642578125,906.861572265625,1.55354905128479,-40.57790756225586,1.4305114426349519e-08,50,,,,,
168,-0.0015492916572839022,2462.65478515625,1.5547791719436646,-67.54206848144531,6.079673653403006e-08,50,,,,,
169,-0.00421343045309186,1416.5528564453125,1.5563331842422485,-58.714324951171875,4.887580828949467e-08,50,,,,,
170,-0.00143448356539011,1207.34033203125,1.5576376914978027,-53.93008804321289,4.7683716530855236e-08,50,0.0,0.0,1.0,-75.42860780060292,60.0
171,-0.00038775920984335244,1378.439208984375,1.5586352348327637,-57.431396484375,-8.702278364580707e-08,50,,,,,
172,-0.00370789528824389,2040.8082275390625,1.5603338479995728,-62.84370422363281,7.1525572131747595e-09,50,,,,,
173,-0.00602892879396677,12262.080078125,1.5624548196792603,-3.342932939529419,3.18512327623921e-09,50,,,,,
174,0.00019218683883082122,1273.7872314453125,1.56441068649292,-57.6009635925293,-1.1444091541079615e-07,50,,,,,
175,-0.011452727019786835,960.3326416015625,1.566034197807312,-48.08138656616211,-1.4305114426349519e-08,50,,,,,
176,-0.003136606188490987,9777.708984375,1.567123532295227,-1.7478399276733398,4.516914486885071e-08,50,,,,,
177,-0.0011062395060434937,1819.8170166015625,1.5678521394729614,-65.91028594970703,-1.668930060816365e-08,50,,,,,
178,-1.858234463725239e-05,3092.1484375,1.5682575702667236,-2.1206912994384766,-1.7881393032936899e-09,50,,,,,
179,-0.0038566971197724342,1131.5582275390625,1.5688807964324951,-9.965489387512207,2.6524066498723187e-08,50,,,,,
180,-0.0019275045488029718,1271.1009521484375,1.5696702003479004,-56.89530944824219,1.704692778048411e-07,50,0.0,0.1,0.9,-3.936134970188141,57.4
181,-0.006994934286922216,1003.4763793945312,1.5706695318222046,3.847090482711792,-6.556511067401516e-08,50,,,,,
182,-0.002470505191013217,814.0081176757812,1.5718401670455933,-47.20573806762695,-2.38418573772492e-09,50,,,,,
183,-0.0007125568226911128,621.18017578125,1.572716474533081,-26.29222869873047,-4.1127204752910984e-08,50,,,,,
